Comment,Designator,Footprint,LCSC Part Number
0.1uF,"C52,C53,C54,C55,C56,C57,C58,C59,C60,C61,C62,C63,C64,C65,C66,C67,C68,C94",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C49678
0Ω,R144,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17477
1.5uH,L3,L_0805_2012Metric_rectpads,C869612
100mA,F1,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder_rectpads,C268780
100Ω,"R103,R104,R105,R106,R107,R108,R109,R110,R111,R112,R113,R114,R115,R116,R117",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17408
10K 0.05%,"R133,R134,R135,R136,R137",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17414
10nF,C91,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C15850
10uF,"C74,C75,C76,C77,C78,C79,C80",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C15850
10uF Tantalum,C93,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder_rectpads,C7171
10uH,L2,L_Abracon_ASPI-4030S_rectpads,C339853
11K 1%,R125,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17585
150K 1%,"R129,R130",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17471
1K,"R131,R132",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17513
1N4148W,D5,D_SOD-123,C81598
1uF,"C69,C70,C71,C72,C73",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C28323
20K 0.05%,R138,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17556
220,R118,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17557
22K 1%,"R127,R128",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17560
22pF,C92,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C1804
22uF,"C95,C96,C97",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder_rectpads,C159769
4.7K,"R120,R122,R123",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17673
4.7K 1%,"R121,R124",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17673
470,R119,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C17710
5.11K 1%,R126,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,C25909
5.1V,"D3,D4",D_SMB_Handsoldering_rectpads,C142361
5.1V 3W,D2,D_SMB_Handsoldering_rectpads,C142361
600Ω @100MHz,L1,L_0805_2012Metric_rectpads,C1015
680pF,"C81,C82,C83,C84,C85,C86,C87,C88,C89,C90",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,C1744
74LV1T125,"U20,U21,U22,U23",SOT-23-5_reducedpads,C473338
74LV4051,U18,TSSOP-16_4.4x5mm_P0.65mm_silkscreen,C547982
75Ω ¼W,"R139,R140,R141,R142,R143",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder_rectpads,C25973
BZT52B5V1S,D6,D_SOD-323F_rectpads,C78478
DAC8568,U19,TSSOP-16_4.4x5mm_P0.65mm_silkscreen,C2680013
FDV303N,"Q1,Q2",SOT-23-3_rectpads,C80498
HD01-T,D1,Diode_Bridge_reduced,C52151
LMR54406F,U13,SOT-23-6_rectpads,C3193129
LP2985A-5.0,U14,SOT-23-5_reducedpads,C74511
LP5907-1.8,U16,SOT-23-5_reducedpads,C92498
MCP33131D,U17,MSOP-10_3x3mm_P0.5mm_silkscreen+footprint,C635129
OPA2277,U26,SOIC-8_3.9x4.9mm_P1.27mm_shiftedpads,C24460
PCM1754,U25,TSSOP-16_4.4x5mm_P0.65mm_silkscreen,C294211
PCM1808,U24,TSSOP-14_4.4x5mm_P0.65mm_silkscreen,C55513
TPS7A2033,U15,SOT-23-5_reducedpads,C2862740
